"x","y","label","contourID"
9917.0235978,5921.74575234,"10",1
10190.423991,6027.56109648,"10",1
10463.8243908,6006.39802818,"10",1
10737.224784,5985.23495922,"10",1
10968.5635818,5942.9088213,"10",1
11157.8407776,5815.9304082,"10",1
11452.2719718,5815.9304082,"10",1
11326.087179,5752.44120132,"10",1
11641.5491742,5900.58268338,"10",1
11851.857171,6069.8872344,"10",1
12104.2267632,6239.19178542,"10",1
12356.596362,6302.6809923,"10",1
12651.0275562,6260.35485438,"10",1
12945.4587504,6218.02871646,"10",1
13176.7975482,6154.53951024,"10",1
13492.2595434,6069.8872344,"10",1
13828.7523396,6069.8872344,"10",1
14081.1219384,6048.72416544,"10",1
14312.4607296,5985.23495922,"10",1
14501.737932,5985.23495922,"10",1
14712.0459288,5921.74575234,"10",1
14901.3231246,5858.25654546,"10",1
15006.477123,5731.27813236,"10",1
14838.2307216,5604.29971926,"10",1
14627.9227248,5519.64744408,"10",1
14375.5531326,5456.1582372,"10",1
14186.2759368,5392.66903032,"10",1
14102.1527328,5138.71220412,"10",1
14018.0295354,4990.57072206,"10",1
14039.0603364,4694.28775794,"10",1
14060.0911374,4440.33093108,"10",1
14186.2759368,4228.7002428,"10",1
14291.4299352,3974.74341594,"10",1
14459.67633,3826.60193388,"10",1
14564.8303284,3593.80817664,"10",1
14543.7995274,3403.34055666,"10",1
14396.5839336,3234.03600564,"10",1
14123.1835338,3191.70986772,"10",1
13870.8139416,3107.05759254,"10",1
13723.5983412,2980.07917944,"10",1
13597.4135418,2810.77462842,"10",1
13555.3519464,2535.6547326,"10",1
13450.197948,2302.86097536,"10",1
13450.197948,2027.7410802,"10",1
13239.8899512,1858.43652918,"10",1
13345.0439496,1985.41494228,"10",1
13050.6127488,1794.9473223,"10",1
12777.2123556,1837.27346022,"10",1
12503.8119558,1794.9473223,"10",1
12251.4423636,1689.13197816,"10",1
12041.1343668,1583.31663336,"10",1
11914.9495674,1392.84901338,"10",1
11830.82637,1244.70753132,"10",1
11746.7031726,1054.239912,"10",1
11683.6107696,948.4245672,"10",1
11515.3643748,1054.239912,"10",1
11515.3643748,1265.87060028,"10",1
11368.1487744,1329.35980716,"10",1
11178.8715786,1202.38139406,"10",1
11073.7175802,1011.91377408,"10",1
11010.6251838,821.4461541,"10",1
10905.4711854,694.467741,"10",1
10716.193983,694.467741,"10",1
10484.8551918,736.79387892,"10",1
10274.5471884,927.26149824,"10",1
10106.3007936,1160.05525614,"10",1
10022.1775962,1435.1751513,"10",1
9917.0235978,1731.45811542,"10",1
9853.9311948,2027.7410802,"10",1
9874.9619958,2154.7194933,"10",1
9811.8695994,2302.86097536,"10",1
9832.9004004,2577.98087052,"10",1
9832.9004004,2789.61155946,"10",1
9769.8079974,2958.91611048,"10",1
9580.5308016,2958.91611048,"10",1
9223.0072044,3001.24224774,"10",1
9075.7916106,3043.56838566,"10",1
8886.5144148,3107.05759254,"10",1
8613.114015,3085.89452358,"10",1
8444.8676202,3022.4053167,"10",1
8339.7136218,3107.05759254,"10",1
8360.7444228,3297.52521252,"10",1
8255.5904244,3382.1774877,"10",1
